,source,target,value
27,china,japan,68
95,japan,united states,58
65,germany,united kingdom,54
61,germany,russia,53
59,germany,japan,48
54,france,united kingdom,45
116,russia,united states,40
90,japan,russia,37
66,germany,united states,32
48,france,germany,31
60,germany,poland,30
58,germany,italy,26
32,cuba,russia,22
47,finland,russia,18
8,australia,japan,17
16,belgium,germany,17
26,china,india,17
70,guam,japan,17
40,egypt,united kingdom,17
102,libya,united kingdom,17
121,united kingdom,united states,13
42,estonia,latvia,12
37,denmark,norway,12
1,albania,greece,12
76,india,japan,12
77,india,pakistan,12
99,"korea, republic of",united states,12
23,cambodia,united states,11
25,china,france,11
80,india,united kingdom,11
85,israel,south africa,11
12,austria,germany,11
53,france,russia,11
91,japan,solomon islands,11
49,france,italy,11
108,norway,sweden,11
69,greece,russia,10
112,poland,russia,9
122,united states,vietnam,9
81,iran,libya,6
93,japan,thailand,6
72,hong kong,singapore,6
73,hong kong,united states,6
74,hungary,romania,6
75,hungary,russia,6
15,belarus,ukraine,6
38,denmark,sweden,6
83,israel,libya,6
84,israel,pakistan,6
13,austria,russia,6
86,italy,libya,6
87,italy,united kingdom,6
11,austria,france,6
10,australia,united states,6
94,japan,united kingdom,6
18,belgium,netherlands,6
9,australia,united kingdom,6
98,"korea, democratic people's republic of",united states,6
7,australia,canada,6
100,latvia,lithuania,6
6,angola,portugal,6
103,lithuania,russia,6
104,luxembourg,netherlands,6
5,angola,mozambique,6
111,poland,romania,6
4,algeria,morocco,6
118,seychelles,united kingdom,6
119,singapore,united kingdom,6
120,thailand,united kingdom,6
71,guam,united states,6
0,albania,bulgaria,6
28,china,"korea, democratic people's republic of",6
22,cambodia,laos,6
50,france,laos,6
52,france,poland,6
68,ghana,united kingdom,6
31,cuba,"korea, democratic people's republic of",6
46,finland,romania,6
56,france,vietnam,6
45,finland,lithuania,6
29,china,mongolia,6
24,canada,"korea, republic of",6
35,czechia,united kingdom,6
64,germany,ukraine,6
63,germany,sweden,6
67,ghana,kenya,6
43,estonia,lithuania,6
20,bulgaria,poland,6
36,denmark,germany,6
21,cambodia,kenya,6
3,algeria,italy,5
105,mongolia,russia,5
106,morocco,united kingdom,5
2,albania,romania,5
110,philippines,united kingdom,5
109,pakistan,philippines,5
117,rwanda,south africa,5
41,estonia,germany,5
44,finland,germany,5
113,poland,united kingdom,5
33,cuba,vietnam,5
19,belgium,poland,5
39,egypt,iraq,5
88,japan,"korea, republic of",5
51,france,philippines,5
17,belgium,luxembourg,5
14,belarus,russia,5
30,china,united kingdom,5
55,france,united states,5
82,iran,united states,5
62,germany,spain,5
89,japan,philippines,5
101,latvia,russia,5
115,russia,united kingdom,4
34,czechia,spain,4
114,portugal,seychelles,4
57,germany,iraq,4
107,mozambique,russia,4
96,"korea, democratic people's republic of",russia,4
78,india,papua new guinea,2
97,"korea, democratic people's republic of",rwanda,2
92,japan,spain,1
79,india,south africa,1
